Country,Year,UnemploymentRate
Afghanistan,2015,8.86
Albania,2015,17.08
Algeria,2015,11.2
Andorra,2015,Undefined
Angola,2015,7.28
Antarctica,2015,Undefined
Antigua and Barbuda,2015,Undefined
Argentina,2015,7.15
Armenia,2015,18.26
Australia,2015,6.06
Austria,2015,5.72
Azerbaijan,2015,4.96
Bahrain,2015,1.21
Bangladesh,2015,4.43
Barbados,2015,11.35
Belarus,2015,0.49
Belgium,2015,8.48
Belize,2015,9.97
Benin,2015,2.63
Bhutan,2015,2.45
Bolivia,2015,3.07
Bosnia and Herzegovina,2015,27.69
Botswana,2015,17.01
Brazil,2015,8.44
Brunei,2015,6.84
Bulgaria,2015,9.14
Burkina Faso,2015,6.49
Burundi,2015,1.57
Cambodia,2015,0.18
Cameroon,2015,4.3
Canada,2015,6.91
Cape Verde,2015,10.27
Central African Republic,2015,6.39
Chad,2015,5.66
Chile,2015,6.51
China,2015,4.61
Colombia,2015,8.24
Comoros,2015,4.34
Costa Rica,2015,9.26
Croatia,2015,16.18
Cuba,2015,2.4
Cyprus,2015,14.92
Czech Republic,2015,5.05
Democratic Republic of the Congo,2015,3.71
Denmark,2015,6.17
Djibouti,2015,5.86
Dominica,2015,Undefined
Dominican Republic,2015,5.92
East Timor,2015,Undefined
Ecuador,2015,3.62
Egypt,2015,13.05
El Salvador,2015,4
Equatorial Guinea,2015,5.46
Eritrea,2015,6.56
Estonia,2015,6.19
Ethiopia,2015,4.97
Federated States of Micronesia,2015,Undefined
Fiji,2015,6.1
Finland,2015,8.38
France,2015,10.36
Gabon,2015,20
Gambia,2015,9.42
Georgia,2015,11.06
Germany,2015,4.62
Ghana,2015,2.15
Greece,2015,24.9
Grenada,2015,Undefined
Guatemala,2015,2.7
Guinea,2015,4.53
Guinea Bissau,2015,6.2
Guyana,2015,11.81
Haiti,2015,14.05
Honduras,2015,4.59
Hong Kong S.A.R. of China,2015,3.3
Hungary,2015,6.81
Iceland,2015,3.98
India,2015,3.49
Indonesia,2015,4.51
Iran,2015,11.06
Iraq,2015,8.09
Ireland,2015,9.4
Israel,2015,5.25
Italy,2015,11.9
Ivory Coast,2015,2.66
Jamaica,2015,13.51
Japan,2015,3.33
Jordan,2015,13.07
Kashmir,2015,Undefined
Kazakhstan,2015,4.93
Kenya,2015,11.59
Kosovo,2015,Undefined
Kuwait,2015,2.2
Kyrgyzstan,2015,7.56
Laos,2015,0.65
Latvia,2015,9.87
Lebanon,2015,6.63
Lesotho,2015,26.98
Liberia,2015,2.27
Libya,2015,18.36
Liechtenstein,2015,Undefined
Lithuania,2015,9.12
Luxembourg,2015,6.67
Macedonia,2015,26.07
Madagascar,2015,1.8
Malawi,2015,5.88
Malaysia,2015,3.1
Maldives,2015,4.99
Mali,2015,7.73
Malta,2015,5.39
Marshall Islands,2015,Undefined
Mauritania,2015,9.85
Mauritius,2015,7.92
Mexico,2015,3.34
Moldova,2015,3.69
Monaco,2015,Undefined
Mongolia,2015,4.86
Montenegro,2015,17.52
Morocco,2015,9.66
Mozambique,2015,25.3
Myanmar,2015,0.77
Namibia,2015,19.59
Nauru,2015,Undefined
Nepal,2015,3.1
Netherlands,2015,6.87
New Zealand,2015,5.37
Nicaragua,2015,4.43
Niger,2015,0.34
Nigeria,2015,4.31
North Korea,2015,4.52
Northern Cyprus,2015,Undefined
Norway,2015,4.3
Oman,2015,3.32
Pakistan,2015,3.57
Palau,2015,Undefined
Palestine,2015,25.82
Panama,2015,4.53
Papua New Guinea,2015,2.64
Paraguay,2015,4.56
Peru,2015,3
Philippines,2015,3.04
Poland,2015,7.5
Portugal,2015,12.44
Qatar,2015,0.16
Republic of the Congo,2015,10.02
Romania,2015,6.81
Russia,2015,5.57
Rwanda,2015,1.16
Saint Kitts and Nevis,2015,Undefined
Saint Lucia,2015,24.09
Saint Vincent and the Grenadines,2015,17.99
Samoa,2015,8.76
San Marino,2015,Undefined
Sao Tome and Principe,2015,13.43
Saudi Arabia,2015,5.59
Senegal,2015,4.85
Republic of Serbia,2015,17.92
Seychelles,2015,Undefined
Sierra Leone,2015,4.7
Singapore,2015,1.69
Slovakia,2015,11.84
Slovenia,2015,8.96
Solomon Islands,2015,2.04
Somalia,2015,6.08
Somaliland,2015,Undefined
South Africa,2015,25.16
South Korea,2015,3.63
South Sudan,2015,Undefined
Spain,2015,22.06
Sri Lanka,2015,4.67
Sudan,2015,12.78
Suriname,2015,7.22
Swaziland,2015,26.33
Sweden,2015,7.4
Switzerland,2015,4.8
Syria,2015,14.72
Taiwan Province of China,2015,Undefined
Tajikistan,2015,10.36
United Republic of Tanzania,2015,2.12
Thailand,2015,0.6
The Bahamas,2015,12
Togo,2015,1.84
Tonga,2015,1.1
Trinidad and Tobago,2015,3.39
Tunisia,2015,15.22
Turkey,2015,10.24
Turkmenistan,2015,3.58
Uganda,2015,1.9
Ukraine,2015,9.14
United Arab Emirates,2015,1.93
United Kingdom,2015,5.3
United States of America,2015,5.28
Uruguay,2015,7.49
Uzbekistan,2015,7.94
Vanuatu,2015,5.26
Vatican,2015,Undefined
Venezuela,2015,6.82
Vietnam,2015,2.12
Western Sahara,2015,Undefined
Yemen,2015,13.81
Zambia,2015,7.75
Zimbabwe,2015,5.09
Kiribati,2015,Undefined
